atividade;artista;time;pag_time
Cantora;Anitta;Botafogo;https://www.botafogo.com.br/
Cantor;Zezé di Camargo;São Paulo;http://www.saopaulofc.net/
Cantor;Thiaguinho;Corinthians;https://www.corinthians.com.br/
Youtuber;Felipe Neto;Botafogo;https://www.botafogo.com.br/
Cantor;Xande de Pilares;Flamengo;https://www.flamengo.com.br/
Cantor;Dudu Nobre;Flamengo;https://www.flamengo.com.br/
Padre;Marcelo Rossi;Corinthians;https://www.corinthians.com.br/
Humorista;Marcelo Andet;Botafogo;https://www.botafogo.com.br/
Cantor;Marcelo D2;Flamengo;https://www.flamengo.com.br/
Atriz;Alessandra Negrini;Corinthians;https://www.corinthians.com.br/
Modelo;Adriane Galisteu;Palmeiras;https://www.palmeiras.com.br/
Músico;Criolo;Corinthians;https://www.corinthians.com.br/
Cantor;Supla;Santos;https://www.santosfc.com.br/
Guitarrista;Edgard Scandurra;São Paulo;http://www.saopaulofc.net/
Vocalista;Nasi;São Paulo;http://www.saopaulofc.net/
Jornalista;Marcelo Tas;Santos;https://www.santosfc.com.br/
Cantor;Sidney Magal;Botafogo;https://www.botafogo.com.br/
Rei;Roberto Carlos;Palmeiras;https://www.palmeiras.com.br/
Apresentador;Luciano Huck;Corinthians;https://www.corinthians.com.br/
Cantor;Mano Brown;Santos;https://www.santosfc.com.br/
Humorista;Hélio de la Peña;Botafogo;https://www.botafogo.com.br/
Cantor;Zeca Pagodinho;Botafogo;https://www.botafogo.com.br/
Cantor;Sérgio Reis;Palmeiras;https://www.palmeiras.com.br/
eterno Tremendão;Erasmo Carlos;Vasco;https://vasco.com.br/
modelo;Ana Paula Minerato;Corinthians;https://www.corinthians.com.br/
músico;Branco Melo;Palmeiras;https://www.palmeiras.com.br/
músico; Marcos Kleine;Palmeiras;https://www.palmeiras.com.br/
rapper;Projota;Santos;https://www.santosfc.com.br/
modelo;Jaque Khury;Corinthians;https://www.corinthians.com.br/
ator;Jayme Matarazzo;Palmeiras;https://www.palmeiras.com.br/
músico;Nasi;São Paulo;http://www.saopaulofc.net/
músico;Andreas Kisser;São Paulo;http://www.saopaulofc.net/
cantor;Jorge Ben Jor;Flamengo;https://www.flamengo.com.br/
jornalista;Serginho Groisman;Corinthians;https://www.corinthians.com.br/
cantor;Maurício Manieri;Palmeiras;https://www.palmeiras.com.br/
cantor;Emicida;Santos;https://www.santosfc.com.br/
ator;Henri Castelli;São Paulo;http://www.saopaulofc.net/
cantora;Ivete Sangalo;Vitória;https://ecvitoria.com.br/
cantor;Chico Buarque;Fluminense;https://www.fluminense.com.br/site/
cantor;Wesley Safadão;Flamengo;https://www.flamengo.com.br/
cantora; Claudia Leite;Bahia;https://www.esporteclubebahia.com.br/
vocalista;Samuel Rosa;Cruzeiro;https://www.cruzeiro.com.br/